# Generated by QuTiP: 700x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0286123033,0.8983374880
0.0572246066,0.6455559448
0.0858369099,0.3535584322
0.1144492132,0.1144112281
0.1430615165,-0.0355511871
0.1716738197,-0.1037928195
0.2002861230,-0.1198334043
0.2288984263,-0.1226544463
0.2575107296,-0.1532639271
0.2861230329,-0.2465036888
0.3147353362,-0.4196646837
0.3433476395,-0.6549521118
0.3719599428,-0.8828578818
0.4005722461,-0.9961761058
0.4291845494,-0.9150308437
0.4577968526,-0.6551022556
0.4864091559,-0.3189231047
0.5150214592,-0.0171469955
0.5436337625,0.1925094456
0.5722460658,0.3064660575
0.6008583691,0.3490578336
0.6294706724,0.3547315320
0.6580829757,0.3619930950
0.6866952790,0.4080730893
0.7153075823,0.5186248116
0.7439198856,0.6920355166
0.7725321888,0.8817807345
0.8011444921,0.9954318427
0.8297567954,0.9383540761
0.8583690987,0.6882019939
0.8869814020,0.3238196023
0.9155937053,-0.0338176206
0.9442060086,-0.3028649169
0.9728183119,-0.4654269211
1.0014306152,-0.5421900487
1.0300429185,-0.5648648761
1.0586552217,-0.5669037121
1.0872675250,-0.5825582008
1.1158798283,-0.6411775933
1.1444921316,-0.7535997226
1.1731044349,-0.8943936541
1.2017167382,-0.9920496105
1.2303290415,-0.9519870001
1.2589413448,-0.7217719056
1.2875536481,-0.3468216486
1.3161659514,0.0547305763
1.3447782546,0.3781663622
1.3733905579,0.5861762754
1.4020028612,0.6953152018
1.4306151645,0.7388657477
1.4592274678,0.7475865643
1.4878397711,0.7495910204
1.5164520744,0.7718464392
1.5450643777,0.8321042234
1.5736766810,0.9223884577
1.6022889843,0.9939332120
1.6309012876,0.9634335242
1.6595135908,0.7603788095
1.6881258941,0.3934409130
1.7167381974,-0.0368753178
1.7453505007,-0.4091678439
1.7739628040,-0.6606126969
1.8025751073,-0.7984141295
1.8311874106,-0.8603105504
1.8597997139,-0.8806230166
1.8884120172,-0.8832823160
1.9170243205,-0.8882165434
1.9456366237,-0.9123024187
1.9742489270,-0.9581446054
2.0028612303,-0.9972984809
2.0314735336,-0.9646412665
2.0600858369,-0.7859431870
2.0886981402,-0.4393302122
2.1173104435,0.0031204245
2.1459227468,0.4153191488
2.1745350501,0.7070774396
2.2031473534,0.8681076266
2.2317596567,0.9390694530
2.2603719599,0.9641368319
2.2889842632,0.9699585721
2.3175965665,0.9702520401
2.3462088698,0.9751036464
2.3748211731,0.9893331375
2.4034334764,0.9989825088
2.4320457797,0.9587580081
2.4606580830,0.8018760507
2.4892703863,0.4864946002
2.5178826896,0.0511728449
2.5464949928,-0.3883203709
2.5751072961,-0.7185517736
2.6037195994,-0.9024363100
2.6323319027,-0.9758436799
2.6609442060,-0.9950808696
2.6895565093,-0.9979575351
2.7181688126,-0.9984461801
2.7467811159,-0.9988021494
2.7753934192,-0.9982626127
2.8040057225,-0.9882251698
2.8326180258,-0.9392173569
2.8612303290,-0.7980761547
2.8898426323,-0.5158703109
2.9184549356,-0.1017633492
2.9470672389,0.3505014574
2.9756795422,0.7149303717
3.0042918455,0.9229493290
3.0329041488,0.9947904004
3.0615164521,0.9956291534
3.0901287554,0.9804085705
3.1187410587,0.9724819594
3.1473533619,0.9714586276
3.1759656652,0.9683214384
3.2045779685,0.9514438967
3.2331902718,0.8996610935
3.2618025751,0.7737435680
3.2904148784,0.5274371654
3.3190271817,0.1489528425
3.3476394850,-0.2968410296
3.3762517883,-0.6863696119
3.4048640916,-0.9217615461
3.4334763948,-0.9957810634
3.4620886981,-0.9727787834
3.4907010014,-0.9255512589
3.5193133047,-0.8947512423
3.5479256080,-0.8860390246
3.5765379113,-0.8854931241
3.6051502146,-0.8738185522
3.6337625179,-0.8292189208
3.6623748212,-0.7210184249
3.6909871245,-0.5099780315
3.7195994278,-0.1736977476
3.7482117310,0.2501926537
3.7768240343,0.6530097390
3.8054363376,0.9168408839
3.8340486409,0.9998959739
3.8626609442,0.9530967843
3.8912732475,0.8626035214
3.9198855508,0.7907068931
3.9484978541,0.7574494452
3.9771101574,0.7514692112
4.0057224607,0.7475456426
4.0343347639,0.7179518378
4.0629470672,0.6333756208
4.0915593705,0.4605083580
4.1201716738,0.1737128811
4.1487839771,-0.2110040136
4.1773962804,-0.6084823363
4.2060085837,-0.8954615338
4.2346208870,-0.9960054112
4.2632331903,-0.9341309413
4.2918454936,-0.7989172211
4.3204577969,-0.6738328975
4.3490701001,-0.5989282892
4.3776824034,-0.5730616298
4.4062947067,-0.5710448620
4.4349070100,-0.5592380004
4.4635193133,-0.5038573166
4.4921316166,-0.3723649719
4.5207439199,-0.1382303487
4.5493562232,0.1970821663
4.5779685265,0.5731395116
4.6065808298,0.8744583268
4.6351931330,0.9986747066
4.6638054363,0.9338522477
4.6924177396,0.7587683124
4.7210300429,0.5736814925
4.7496423462,0.4415176898
4.7782546495,0.3767267459
4.8068669528,0.3605458815
4.8354792561,0.3581667869
4.8640915594,0.3308392511
4.8927038627,0.2425345581
4.9213161660,0.0645513929
4.9499284692,-0.2113784840
4.9785407725,-0.5471670114
5.0071530758,-0.8455052848
5.0357653791,-0.9917619663
5.0643776824,-0.9367709965
5.0929899857,-0.7346801324
5.1216022890,-0.4927643115
5.1502145923,-0.2965447932
5.1788268956,-0.1792565276
5.2074391989,-0.1326283955
5.2360515021,-0.1259132465
5.2646638054,-0.1190441913
5.2932761087,-0.0716011791
5.3218884120,0.0499442930
5.3505007153,0.2622590026
5.3791130186,0.5457864314
5.4077253219,0.8255321791
5.4363376252,0.9882364781
5.4649499285,0.9535928156
5.4935622318,0.7404501597
5.5221745351,0.4502250263
5.5507868383,0.1882639289
5.5793991416,0.0093038239
5.6080114449,-0.0824304135
5.6366237482,-0.1111374233
5.6652360515,-0.1136659435
5.6938483548,-0.1312063135
5.7224606581,-0.2016409192
5.7510729614,-0.3495542625
5.7796852647,-0.5708333004
5.8082975680,-0.8134670252
5.8369098712,-0.9775345450
5.8655221745,-0.9649686149
5.8941344778,-0.7564214498
5.9227467811,-0.4328552742
5.9513590844,-0.1114867812
5.9799713877,0.1299375084
6.0085836910,0.2726880728
6.0371959943,0.3346528566
6.0658082976,0.3480371052
6.0944206009,0.3505490276
6.1230329041,0.3807853332
6.1516452074,0.4696610262
6.1802575107,0.6264399766
6.2088698140,0.8206737715
6.2374821173,0.9724760470
6.2660944206,0.9799155447
6.2947067239,0.7898398771
6.3233190272,0.4507280189
6.3519313305,0.0797586875
6.3805436338,-0.2223325191
6.4091559371,-0.4180908169
6.4377682403,-0.5192303596
6.4663805436,-0.5556824661
6.4949928469,-0.5605873207
6.5236051502,-0.5683323197
6.5522174535,-0.6111242913
6.5808297568,-0.7077346992
6.6094420601,-0.8463413143
6.6380543634,-0.9699037570
6.6666666667,-0.9856381214
6.6952789700,-0.8188915321
6.7238912732,-0.4811963665
6.7525035765,-0.0752122170
6.7811158798,0.2808232396
6.8097281831,0.5262717396
6.8383404864,0.6641057087
6.8669527897,0.7253435309
6.8955650930,0.7421730521
6.9241773963,0.7432873928
6.9527896996,0.7565769206
6.9814020029,0.8044529764
7.0100143062,0.8893309892
7.0386266094,0.9764542732
7.0672389127,0.9904758311
7.0958512160,0.8489155411
7.1244635193,0.5289878585
7.1530758226,0.1056767670
7.1816881259,-0.2959196783
7.2103004292,-0.5887844035
7.2389127325,-0.7602596522
7.2675250358,-0.8428018989
7.2961373391,-0.8736957614
7.3247496423,-0.8798144281
7.3533619456,-0.8819579267
7.3819742489,-0.8988941447
7.4105865522,-0.9398057903
7.4391988555,-0.9878928034
7.4678111588,-0.9887399290
