# Generated by QuTiP: 2000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100050025,0.9864954547
0.0200100050,0.9468592340
0.0300150075,0.8836694085
0.0400200100,0.8009178680
0.0500250125,0.7035576156
0.0600300150,0.5969777002
0.0700350175,0.4864889068
0.0800400200,0.3768927751
0.0900450225,0.2721801031
0.1000500250,0.1753758573
0.1100550275,0.0885174013
0.1200600300,0.0127336838
0.1300650325,-0.0516152488
0.1400700350,-0.1047767822
0.1500750375,-0.1474521074
0.1600800400,-0.1806674608
0.1700850425,-0.2056777601
0.1800900450,-0.2238987897
0.1900950475,-0.2368617842
0.2001000500,-0.2461810948
0.2101050525,-0.2535254543
0.2201100550,-0.2605868002
0.2301150575,-0.2690418559
0.2401200600,-0.2805052203
0.2501250625,-0.2964806512
0.2601300650,-0.3182990392
0.2701350675,-0.3470481831
0.2801400700,-0.3834936242
0.2901450725,-0.4279886817
0.3001500750,-0.4803749699
0.3101550775,-0.5398807759
0.3201600800,-0.6050300746
0.3301650825,-0.6735822428
0.3401700850,-0.7425279852
0.3501750875,-0.8081675838
0.3601800900,-0.8662914865
0.3701850925,-0.9124689448
0.3801900950,-0.9424301638
0.3901950975,-0.9525039239
0.4002001001,-0.9400524008
0.4102051026,-0.9038335097
0.4202101051,-0.8442235301
0.4302151076,-0.7632508231
0.4402201101,-0.6644229772
0.4502251126,-0.5523684893
0.4602301151,-0.4323505839
0.4702351176,-0.3097349608
0.4802401201,-0.1894980902
0.4902451226,-0.0758467033
0.5002501251,0.0280094124
0.5102551276,0.1199274857
0.5202601301,0.1987676465
0.5302651326,0.2642377619
0.5402701351,0.3166950077
0.5502751376,0.3569459666
0.5602801401,0.3860752157
0.5702851426,0.4053175968
0.5802901451,0.4159773113
0.5902951476,0.4193875897
0.6003001501,0.4168985708
0.6103051526,0.4098803636
0.6203101551,0.3997288396
0.6303151576,0.3878648331
0.6403201601,0.3757209307
0.6503251626,0.3647117114
0.6603301651,0.3562001812
0.6703351676,0.3514495852
0.6803401701,0.3515713221
0.6903451726,0.3574707427
0.7003501751,0.3697909229
0.7103551776,0.3888536943
0.7203601801,0.4145989250
0.7303651826,0.4465240939
0.7403701851,0.4836305555
0.7503751876,0.5243883872
0.7603801901,0.5667355241
0.7703851926,0.6081288848
0.7803901951,0.6456631596
0.7903951976,0.6762633980
0.8004002001,0.6969442771
0.8104052026,0.7051109176
0.8204102051,0.6988598997
0.8304152076,0.6772297823
0.8404202101,0.6403521373
0.8504252126,0.5894693311
0.8604302151,0.5268116646
0.8704352176,0.4553522107
0.8804402201,0.3784860377
0.8904452226,0.2996891042
0.9004502251,0.2222088503
0.9104552276,0.1488302164
0.9204602301,0.0817354020
0.9304652326,0.0224561766
0.9404702351,-0.0280966642
0.9504752376,-0.0695517179
0.9604802401,-0.1019713823
0.9704852426,-0.1257442367
0.9804902451,-0.1414932400
0.9904952476,-0.1500060888
1.0005002501,-0.1521897589
1.0105052526,-0.1490454593
1.0205102551,-0.1416551033
1.0305152576,-0.1311732286
1.0405202601,-0.1188170305
1.0505252626,-0.1058498763
1.0605302651,-0.0935597422
1.0705352676,-0.0832300164
1.0805402701,-0.0761084701
1.0905452726,-0.0733751666
1.1005502751,-0.0761100269
1.1105552776,-0.0852584977
1.1205602801,-0.1015937185
1.1305652826,-0.1256659001
1.1405702851,-0.1577406056
1.1505752876,-0.1977225641
1.1605802901,-0.2450711733
1.1705852926,-0.2987199283
1.1805902951,-0.3570196440
1.1905952976,-0.4177285996
1.2006003002,-0.4780727463
1.2106053027,-0.5348902969
1.2206103052,-0.5848602955
1.2306153077,-0.6247953051
1.2406203102,-0.6519604850
1.2506253127,-0.6643700161
1.2606303152,-0.6610114768
1.2706353177,-0.6419600183
1.2806403202,-0.6083638071
1.2906453227,-0.5623052001
1.3006503252,-0.5065631239
1.3106553277,-0.4443169608
1.3206603302,-0.3788383339
1.3306653327,-0.3132141818
1.3406703352,-0.2501332224
1.3506753377,-0.1917529592
1.3606803402,-0.1396456080
1.3706853427,-0.0948112374
1.3806903452,-0.0577362903
1.3906953477,-0.0284753021
1.4007003502,-0.0067366353
1.4107053527,0.0080404319
1.4207103552,0.0166233403
1.4307153577,0.0199385608
1.4407203602,0.0190369846
1.4507253627,0.0150624192
1.4607303652,0.0092264763
1.4707353677,0.0027791777
1.4807403702,-0.0030208756
1.4907453727,-0.0069372611
1.5007503752,-0.0077847639
1.5107553777,-0.0044580866
1.5207603802,0.0040428261
1.5307653827,0.0185827206
1.5407703852,0.0398570645
1.5507753877,0.0683473164
1.5607803902,0.1042625163
1.5707853927,0.1474677184
1.5807903952,0.1974054449
1.5907953977,0.2530225747
1.6008004002,0.3127211620
1.6108054027,0.3743545433
1.6208104052,0.4352884380
1.6308154077,0.4925388987
1.6408204102,0.5429857760
1.6508254127,0.5836436710
1.6608304152,0.6119570997
1.6708354177,0.6260764479
1.6808404202,0.6250696275
1.6908454227,0.6090334654
1.7008504252,0.5790828697
1.7108554277,0.5372209135
1.7208604302,0.4861114082
1.7308654327,0.4287914192
1.7408704352,0.3683729329
1.7508754377,0.3077756556
1.7608804402,0.2495238809
1.7708854427,0.1956235723
1.7808904452,0.1475165448
1.7908954477,0.1060989270
1.8009004502,0.0717817167
1.8109054527,0.0445717783
1.8209104552,0.0241552202
1.8309154577,0.0099715994
1.8409204602,0.0012738204
1.8509254627,-0.0028262150
1.8609304652,-0.0033225454
1.8709354677,-0.0012880461
1.8809404702,0.0021521998
1.8909454727,0.0058460414
1.9009504752,0.0086404913
1.9109554777,0.0094072848
1.9209604802,0.0070683935
1.9309654827,0.0006191845
1.9409704852,-0.0108471391
1.9509754877,-0.0281112954
1.9609804902,-0.0517935260
1.9709854927,-0.0823038429
1.9809904952,-0.1197798151
1.9909954977,-0.1640106056
2.0010005003,-0.2143553094
2.0110055028,-0.2696694604
2.0210105053,-0.3282592575
2.0310155078,-0.3878864606
2.0410205103,-0.4458432046
2.0510255128,-0.4991083434
2.0610305153,-0.5445810469
2.0710355178,-0.5793695547
2.0810405203,-0.6010962670
2.0910455228,-0.6081704659
2.1010505253,-0.5999808876
2.1110555278,-0.5769726876
2.1210605303,-0.5405944364
2.1310655328,-0.4931253112
2.1410705353,-0.4374143712
2.1510755378,-0.3765775349
2.1610805403,-0.3137008051
2.1710855428,-0.2515908292
2.1810905453,-0.1925999446
2.1910955478,-0.1385327325
2.2011005503,-0.0906285599
2.2111055528,-0.0496013710
2.2211105553,-0.0157142009
2.2311155578,0.0111331025
2.2411205603,0.0313194213
2.2511255628,0.0454311683
2.2611305653,0.0542079708
2.2711355678,0.0585038435
2.2811405703,0.0592598598
2.2911455728,0.0574827764
2.3011505753,0.0542253563
2.3111555778,0.0505659958
2.3211605803,0.0475843223
2.3311655828,0.0463367083
2.3411705853,0.0478326429
2.3511755878,0.0530070155
2.3611805903,0.0626910601
2.3711855928,0.0775855277
2.3811905953,0.0982210470
2.3911955978,0.1249122956
2.4012006003,0.1577009507
2.4112056028,0.1962904044
2.4212106053,0.2399796748
2.4312156078,0.2876094654
2.4412206103,0.3375374038
2.4512256128,0.3876613334
2.4612306153,0.4355051877
2.4712356178,0.4783740698
2.4812406203,0.5135710571
2.4912456228,0.5386534553
2.5012506253,0.5516933439
2.5112556278,0.5515008948
2.5212606303,0.5377715162
2.5312656328,0.5111306633
2.5412706353,0.4730648413
2.5512756378,0.4257533879
2.5612806403,0.3718290587
2.5712856428,0.3141058930
2.5812906453,0.2553201091
2.5912956478,0.1979174162
2.6013006503,0.1439077326
2.6113056528,0.0947950166
2.6213106553,0.0515730153
2.6313156578,0.0147699812
2.6413206603,-0.0154785971
2.6513256628,-0.0393485024
2.6613306653,-0.0572508200
2.6713356678,-0.0697696691
2.6813406703,-0.0776160445
2.6913456728,-0.0815958729
2.7013506753,-0.0825879277
2.7113556778,-0.0815279475
2.7213606803,-0.0793907866
2.7313656828,-0.0771734950
2.7413706853,-0.0758744583
2.7513756878,-0.0764686156
2.7613806903,-0.0798846396
2.7713856928,-0.0869746826
