# Generated by QuTiP: 5999x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100033344,0.9999499693
0.0200066689,0.9997998921
0.0300100033,0.9995498134
0.0400133378,0.9991998085
0.0500166722,0.9987499822
0.0600200067,0.9982004695
0.0700233411,0.9975514352
0.0800266756,0.9968030737
0.0900300100,0.9959556091
0.1000333444,0.9950092951
0.1100366789,0.9939644147
0.1200400133,0.9928212800
0.1300433478,0.9915802324
0.1400466822,0.9902416419
0.1500500167,0.9888059074
0.1600533511,0.9872734559
0.1700566856,0.9856447429
0.1800600200,0.9839202519
0.1900633545,0.9821004938
0.2000666889,0.9801860071
0.2100700233,0.9781773593
0.2200733578,0.9760751413
0.2300766922,0.9738799722
0.2400800267,0.9715924971
0.2500833611,0.9692133869
0.2600866956,0.9667433380
0.2700900300,0.9641830721
0.2800933645,0.9615333353
0.2900966989,0.9587948982
0.3001000333,0.9559685554
0.3101033678,0.9530551248
0.3201067022,0.9500554474
0.3301100367,0.9469703869
0.3401133711,0.9438008292
0.3501167056,0.9405476819
0.3601200400,0.9372118738
0.3701233745,0.9337943546
0.3801267089,0.9302960940
0.3901300433,0.9267180818
0.4001333778,0.9230613269
0.4101367122,0.9193268572
0.4201400467,0.9155157185
0.4301433811,0.9116289748
0.4401467156,0.9076677068
0.4501500500,0.9036330123
0.4601533845,0.8995260051
0.4701567189,0.8953478144
0.4801600534,0.8910995846
0.4901633878,0.8867824746
0.5001667222,0.8823976571
0.5101700567,0.8779463184
0.5201733911,0.8734296572
0.5301767256,0.8688488848
0.5401800600,0.8642052240
0.5501833945,0.8594999085
0.5601867289,0.8547341829
0.5701900634,0.8499093014
0.5801933978,0.8450265278
0.5901967322,0.8400871345
0.6002000667,0.8350924022
0.6102034011,0.8300436192
0.6202067356,0.8249420810
0.6302100700,0.8197890895
0.6402134045,0.8145859525
0.6502167389,0.8093339831
0.6602200734,0.8040344994
0.6702234078,0.7986888237
0.6802267422,0.7932982817
0.6902300767,0.7878642025
0.7002334111,0.7823879178
0.7102367456,0.7768707611
0.7202400800,0.7713140677
0.7302434145,0.7657191735
0.7402467489,0.7600874151
0.7502500834,0.7544201288
0.7602534178,0.7487186504
0.7702567523,0.7429843146
0.7802600867,0.7372184544
0.7902634211,0.7314224006
0.8002667556,0.7255974814
0.8102700900,0.7197450218
0.8202734245,0.7138663435
0.8302767589,0.7079627638
0.8402800934,0.7020355955
0.8502834278,0.6960861467
0.8602867623,0.6901157197
0.8702900967,0.6841256111
0.8802934311,0.6781171113
0.8902967656,0.6720915037
0.9003001000,0.6660500648
0.9103034345,0.6599940634
0.9203067689,0.6539247606
0.9303101034,0.6478434089
0.9403134378,0.6417512523
0.9503167723,0.6356495257
0.9603201067,0.6295394545
0.9703234411,0.6234222544
0.9803267756,0.6172991312
0.9903301100,0.6111712798
1.0003334445,0.6050398849
1.0103367789,0.5989061198
1.0203401134,0.5927711467
1.0303434478,0.5866361159
1.0403467823,0.5805021660
1.0503501167,0.5743704234
1.0603534512,0.5682420020
1.0703567856,0.5621180033
1.0803601200,0.5559995154
1.0903634545,0.5498876137
1.1003667889,0.5437833601
1.1103701234,0.5376878030
1.1203734578,0.5316019769
1.1303767923,0.5255269026
1.1403801267,0.5194635865
1.1503834612,0.5134130210
1.1603867956,0.5073761840
1.1703901300,0.5013540386
1.1803934645,0.4953475334
1.1903967989,0.4893576021
1.2004001334,0.4833851635
1.2104034678,0.4774311212
1.2204068023,0.4714963637
1.2304101367,0.4655817641
1.2404134712,0.4596881804
1.2504168056,0.4538164548
1.2604201400,0.4479674145
1.2704234745,0.4421418706
1.2804268089,0.4363406189
1.2904301434,0.4305644397
1.3004334778,0.4248140972
1.3104368123,0.4190903403
1.3204401467,0.4133939019
1.3304434812,0.4077254993
1.3404468156,0.4020858341
1.3504501501,0.3964755920
1.3604534845,0.3908954432
1.3704568189,0.3853460419
1.3804601534,0.3798280270
1.3904634878,0.3743420214
1.4004668223,0.3688886326
1.4104701567,0.3634684524
1.4204734912,0.3580820571
1.4304768256,0.3527300077
1.4404801601,0.3474128497
1.4504834945,0.3421311130
1.4604868289,0.3368853127
1.4704901634,0.3316759483
1.4804934978,0.3265035044
1.4904968323,0.3213684505
1.5005001667,0.3162712413
1.5105035012,0.3112123164
1.5205068356,0.3061921009
1.5305101701,0.3012110051
1.5405135045,0.2962694249
1.5505168389,0.2913677416
1.5605201734,0.2865063223
1.5705235078,0.2816855200
1.5805268423,0.2769056734
1.5905301767,0.2721671074
1.6005335112,0.2674701331
1.6105368456,0.2628150477
1.6205401801,0.2582021352
1.6305435145,0.2536316657
1.6405468489,0.2491038964
1.6505501834,0.2446190711
1.6605535178,0.2401774206
1.6705568523,0.2357791631
1.6805601867,0.2314245036
1.6905635212,0.2271136349
1.7005668556,0.2228467371
1.7105701901,0.2186239781
1.7205735245,0.2144455136
1.7305768590,0.2103114874
1.7405801934,0.2062220313
1.7505835278,0.2021772654
1.7605868623,0.1981772984
1.7705901967,0.1942222274
1.7805935312,0.1903121383
1.7905968656,0.1864471058
1.8006002001,0.1826271939
1.8106035345,0.1788524556
1.8206068690,0.1751229332
1.8306102034,0.1714386586
1.8406135378,0.1677996533
1.8506168723,0.1642059285
1.8606202067,0.1606574855
1.8706235412,0.1571543155
1.8806268756,0.1536964002
1.8906302101,0.1502837114
1.9006335445,0.1469162115
1.9106368790,0.1435938537
1.9206402134,0.1403165819
1.9306435478,0.1370843309
1.9406468823,0.1338970267
1.9506502167,0.1307545865
1.9606535512,0.1276569189
1.9706568856,0.1246039239
1.9806602201,0.1215954933
1.9906635545,0.1186315107
2.0006668890,0.1157118513
2.0106702234,0.1128363829
2.0206735579,0.1100049649
2.0306768923,0.1072174493
2.0406802267,0.1044736806
2.0506835612,0.1017734958
2.0606868956,0.0991167244
2.0706902301,0.0965031889
2.0806935645,0.0939327048
2.0906968990,0.0914050805
2.1007002334,0.0889201175
2.1107035679,0.0864776107
2.1207069023,0.0840773485
2.1307102367,0.0817191126
2.1407135712,0.0794026784
2.1507169056,0.0771278151
2.1607202401,0.0748942856
2.1707235745,0.0727018468
2.1807269090,0.0705502498
2.1907302434,0.0684392397
2.2007335779,0.0663685557
2.2107369123,0.0643379317
2.2207402467,0.0623470958
2.2307435812,0.0603957708
2.2407469156,0.0584836740
2.2507502501,0.0566105176
2.2607535845,0.0547760084
2.2707569190,0.0529798483
2.2807602534,0.0512217343
2.2907635879,0.0495013583
2.3007669223,0.0478184074
2.3107702568,0.0461725641
2.3207735912,0.0445635061
2.3307769256,0.0429909067
2.3407802601,0.0414544347
2.3507835945,0.0399537542
2.3607869290,0.0384885254
2.3707902634,0.0370584039
2.3807935979,0.0356630414
2.3907969323,0.0343020852
2.4008002668,0.0329751789
2.4108036012,0.0316819618
2.4208069356,0.0304220696
2.4308102701,0.0291951339
2.4408136045,0.0280007828
2.4508169390,0.0268386405
2.4608202734,0.0257083278
2.4708236079,0.0246094616
2.4808269423,0.0235416556
2.4908302768,0.0225044833
2.5008336112,0.0214976247
2.5108369456,0.0205206468
2.5208402801,0.0195731496
2.5308436145,0.0186547302
2.5408469490,0.0177649824
2.5508502834,0.0169034970
2.5608536179,0.0160698617
2.5708569523,0.0152636613
2.5808602868,0.0144844776
2.5908636212,0.0137318896
2.6008669557,0.0130054736
2.6108702901,0.0123048028
2.6208736245,0.0116294481
2.6308769590,0.0109789776
2.6408802934,0.0103529566
2.6508836279,0.0097509482
2.6608869623,0.0091725128
2.6708902968,0.0086172084
2.6808936312,0.0080845907
2.6908969657,0.0075742130
2.7009003001,0.0070856262
2.7109036345,0.0066183792
2.7209069690,0.0061720185
2.7309103034,0.0057460886
2.7409136379,0.0053401319
2.7509169723,0.0049536888
2.7609203068,0.0045862976
2.7709236412,0.0042374948
2.7809269757,0.0039068149
2.7909303101,0.0035937907
2.8009336445,0.0032979530
2.8109369790,0.0030188312
2.8209403134,0.0027559526
2.8309436479,0.0025088433
2.8409469823,0.0022770275
2.8509503168,0.0020600279
2.8609536512,0.0018573658
2.8709569857,0.0016685610
2.8809603201,0.0014931320
2.8909636546,0.0013305959
2.9009669890,0.0011804684
2.9109703234,0.0010422641
2.9209736579,0.0009154963
2.9309769923,0.0007996773
2.9409803268,0.0006943007
2.9509836612,0.0005988940
2.9609869957,0.0005129665
2.9709903301,0.0004360260
2.9809936646,0.0003675800
2.9909969990,0.0003071347
3.0010003334,0.0002541956
3.0110036679,0.0002082676
3.0210070023,0.0001688547
3.0310103368,0.0001354604
3.0410136712,0.0001075876
3.0510170057,0.0000847385
3.0610203401,0.0000664150
3.0710236746,0.0000521184
3.0810270090,0.0000413499
3.0910303434,0.0000336100
3.1010336779,0.0000283978
3.1110370123,0.0000252155
3.1210403468,0.0000235635
3.1310436812,0.0000229335
3.1410470157,0.0000228357
3.1510503501,0.0000227652
3.1610536846,0.0000222217
3.1710570190,0.0000206900
3.1810603535,0.0000176932
3.1910636879,0.0000127277
3.2010670223,0.0000052713
3.2110703568,-0.0000051594
3.2210736912,-0.0000190636
3.2310770257,-0.0000369404
3.2410803601,-0.0000592885
3.2510836946,-0.0000866060
3.2610870290,-0.0001193907
3.2710903635,-0.0001581398
3.2810936979,-0.0002033500
3.2910970323,-0.0002555172
3.3011003668,-0.0003151367
3.3111037012,-0.0003827031
3.3211070357,-0.0004587101
3.3311103701,-0.0005436506
3.3411137046,-0.0006380166
3.3511170390,-0.0007422992
3.3611203735,-0.0008569884
3.3711237079,-0.0009825909
3.3811270423,-0.0011195772
3.3911303768,-0.0012684340
3.4011337112,-0.0014296469
3.4111370457,-0.0016037003
3.4211403801,-0.0017910774
3.4311437146,-0.0019922597
3.4411470490,-0.0022077278
3.4511503835,-0.0024379606
3.4611537179,-0.0026834355
3.4711570524,-0.0029446283
3.4811603868,-0.0032220136
3.4911637212,-0.0035160638
3.5011670557,-0.0038272502
3.5111703901,-0.0041560420
3.5211737246,-0.0045029066
3.5311770590,-0.0048683098
3.5411803935,-0.0052527155
3.5511837279,-0.0056565854
3.5611870624,-0.0060803796
3.5711903968,-0.0065245558
3.5811937312,-0.0069895699
3.5911970657,-0.0074758757
3.6012004001,-0.0079839245
3.6112037346,-0.0085141658
3.6212070690,-0.0090670465
3.6312104035,-0.0096430113
3.6412137379,-0.0102425025
3.6512170724,-0.0108659599
3.6612204068,-0.0115138211
3.6712237412,-0.0121865208
3.6812270757,-0.0128844912
3.6912304101,-0.0136081622
3.7012337446,-0.0143579604
3.7112370790,-0.0151343103
3.7212404135,-0.0159376330
3.7312437479,-0.0167683473
3.7412470824,-0.0176268686
3.7512504168,-0.0185136097
3.7612537513,-0.0194289801
3.7712570857,-0.0203733865
3.7812604201,-0.0213472321
3.7912637546,-0.0223509173
3.8012670890,-0.0233848390
3.8112704235,-0.0244493908
3.8212737579,-0.0255449629
3.8312770924,-0.0266719423
3.8412804268,-0.0278307121
3.8512837613,-0.0290216523
3.8612870957,-0.0302451389
3.8712904301,-0.0315015443
3.8812937646,-0.0327912372
3.8912970990,-0.0341145825
3.9013004335,-0.0354719411
3.9113037679,-0.0368636700
3.9213071024,-0.0382901222
3.9313104368,-0.0397516464
3.9413137713,-0.0412485874
3.9513171057,-0.0427812856
3.9613204401,-0.0443500769
3.9713237746,-0.0459552931
3.9813271090,-0.0475972614
3.9913304435,-0.0492763042
4.0013337779,-0.0509927397
4.0113371124,-0.0527468809
4.0213404468,-0.0545390364
4.0313437813,-0.0563695095
4.0413471157,-0.0582385989
4.0513504502,-0.0601465980
4.0613537846,-0.0620937950
4.0713571190,-0.0640804731
4.0813604535,-0.0661069099
4.0913637879,-0.0681733776
4.1013671224,-0.0702801431
4.1113704568,-0.0724274674
4.1213737913,-0.0746156059
4.1313771257,-0.0768448081
4.1413804602,-0.0791153177
4.1513837946,-0.0814273722
4.1613871290,-0.0837812032
4.1713904635,-0.0861770358
4.1813937979,-0.0886150888
4.1913971324,-0.0910955746
4.2014004668,-0.0936186991
4.2114038013,-0.0961846613
4.2214071357,-0.0987936535
4.2314104702,-0.1014458611
4.2414138046,-0.1041414625
4.2514171390,-0.1068806286
4.2614204735,-0.1096635234
4.2714238079,-0.1124903033
4.2814271424,-0.1153611173
4.2914304768,-0.1182761064
4.3014338113,-0.1212354041
4.3114371457,-0.1242391359
4.3214404802,-0.1272874192
4.3314438146,-0.1303803632
4.3414471490,-0.1335180688
4.3514504835,-0.1367006283
4.3614538179,-0.1399281256
4.3714571524,-0.1432006357
4.3814604868,-0.1465182247
4.3914638213,-0.1498809498
4.4014671557,-0.1532888590
4.4114704902,-0.1567419908
4.4214738246,-0.1602403744
4.4314771591,-0.1637840294
4.4414804935,-0.1673729656
4.4514838279,-0.1710071829
4.4614871624,-0.1746866712
4.4714904968,-0.1784114101
4.4814938313,-0.1821813689
4.4914971657,-0.1859965065
4.5015005002,-0.1898567711
4.5115038346,-0.1937620999
4.5215071691,-0.1977124195
4.5315105035,-0.2017076451
4.5415138379,-0.2057476809
4.5515171724,-0.2098324194
4.5615205068,-0.2139617420
4.5715238413,-0.2181355180
4.5815271757,-0.2223536050
4.5915305102,-0.2266158485
4.6015338446,-0.2309220821
4.6115371791,-0.2352721270
4.6215405135,-0.2396657917
4.6315438479,-0.2441028726
4.6415471824,-0.2485831530
4.6515505168,-0.2531064034
4.6615538513,-0.2576723815
4.6715571857,-0.2622808315
4.6815605202,-0.2669314847
4.6915638546,-0.2716240587
4.7015671891,-0.2763582577
4.7115705235,-0.2811337721
4.7215738580,-0.2859502785
4.7315771924,-0.2908074398
4.7415805268,-0.2957049045
4.7515838613,-0.3006423071
4.7615871957,-0.3056192677
