# Generated by QuTiP: 2000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100050025,0.9870363244
0.0200100050,0.9490527583
0.0300150075,0.8886559734
0.0400200100,0.8098277656
0.0500250125,0.7174553700
0.0600300150,0.6168016097
0.0700350175,0.5130024614
0.0800400200,0.4106594293
0.0900450225,0.3135673114
0.1000500250,0.2245841542
0.1100550275,0.1456247237
0.1200600300,0.0777429225
0.1300650325,0.0212642560
0.1400700350,-0.0240660169
0.1500750375,-0.0589450408
0.1600800400,-0.0843982758
0.1700850425,-0.1016951715
0.1800900450,-0.1122872951
0.1900950475,-0.1177611237
0.2001000500,-0.1198059435
0.2101050525,-0.1201817967
0.2201100550,-0.1206874991
0.2301150575,-0.1231063300
0.2401200600,-0.1291827114
0.2501250625,-0.1405672915
0.2601300650,-0.1587683558
0.2701350675,-0.1850957207
0.2801400700,-0.2205942047
0.2901450725,-0.2659620729
0.3001500750,-0.3214509296
0.3101550775,-0.3867493384
0.3201600800,-0.4608592099
0.3301650825,-0.5419835015
0.3401700850,-0.6274530760
0.3501750875,-0.7137263224
0.3601800900,-0.7964942420
0.3701850925,-0.8709129740
0.3801900950,-0.9319653232
0.3901950975,-0.9749242844
0.4002001001,-0.9958620195
0.4102051026,-0.9921253818
0.4202101051,-0.9626925992
0.4302151076,-0.9083399854
0.4402201101,-0.8315809895
0.4502251126,-0.7363846559
0.4602301151,-0.6277243709
0.4702351176,-0.5110384513
0.4802401201,-0.3916940320
0.4902451226,-0.2745351003
0.5002501251,-0.1635654474
0.5102551276,-0.0617868624
0.5202601301,0.0288207080
0.5302651326,0.1072104844
0.5402701351,0.1731147354
0.5502751376,0.2268676978
0.5602801401,0.2692372327
0.5702851426,0.3012864065
0.5802901451,0.3242724916
0.5902951476,0.3395821806
0.6003001501,0.3486956931
0.6103051526,0.3531688234
0.6203101551,0.3546214092
0.6303151576,0.3547224750
0.6403201601,0.3551689365
0.6503251626,0.3576406888
0.6603301651,0.3637669566
0.6703351676,0.3750647013
0.6803401701,0.3928737986
0.6903451726,0.4182821807
0.7003501751,0.4520406805
0.7103551776,0.4944668296
0.7203601801,0.5453386768
0.7303651826,0.6037857548
0.7403701851,0.6681908951
0.7503751876,0.7361243129
0.7603801901,0.8043380232
0.7703851926,0.8688500564
0.7803901951,0.9251418942
0.7903951976,0.9684765589
0.8004002001,0.9943212694
0.8104052026,0.9988301388
0.8204102051,0.9793178152
0.8304152076,0.9346420537
0.8404202101,0.8654189161
0.8504252126,0.7740201409
0.8604302151,0.6643432160
0.8704352176,0.5413902727
0.8804402201,0.4107294248
0.8904452226,0.2779313653
0.9004502251,0.1480705017
0.9104552276,0.0253577900
0.9204602301,-0.0870640944
0.9304652326,-0.1871642882
0.9404702351,-0.2739370727
0.9504752376,-0.3472304295
0.9604802401,-0.4075362409
0.9704852426,-0.4557844979
0.9804902451,-0.4931693082
0.9904952476,-0.5210197805
1.0005002501,-0.5407197639
1.0105052526,-0.5536697419
1.0205102551,-0.5612778714
1.0305152576,-0.5649677573
1.0405202601,-0.5661882941
1.0505252626,-0.5664158335
1.0605302651,-0.5671426764
1.0705352676,-0.5698407962
1.0805402701,-0.5759203853
1.0905452726,-0.5866625786
1.1005502751,-0.6031416541
1.1105552776,-0.6261358700
1.1205602801,-0.6560296850
1.1305652826,-0.6927105934
1.1405702851,-0.7354664753
1.1505752876,-0.7828951760
1.1605802901,-0.8328430343
1.1705852926,-0.8823951701
1.1805902951,-0.9279431336
1.1905952976,-0.9653521651
1.2006003002,-0.9902393996
1.2106053027,-0.9983545106
1.2206103052,-0.9860294865
1.2306153077,-0.9506389199
1.2406203102,-0.8909951398
1.2506253127,-0.8076008132
1.2606303152,-0.7026994061
1.2706353177,-0.5800991792
1.2806403202,-0.4447910614
1.2906453227,-0.3024227516
1.3006503252,-0.1587188714
1.3106553277,-0.0189425437
1.3206603302,0.1125227953
1.3306653327,0.2324241353
1.3406703352,0.3387146199
1.3506753377,0.4304766067
1.3606803402,0.5077366656
1.3706853427,0.5712263213
1.3806903452,0.6221359804
1.3906953477,0.6618983381
1.4007003502,0.6920227951
1.4107053527,0.7139883902
1.4207103552,0.7291916759
1.4307153577,0.7389380456
1.4407203602,0.7444613701
1.4507253627,0.7469567204
1.4607303652,0.7476111631
1.4707353677,0.7476217566
1.4807403702,0.7481937759
1.4907453727,0.7505102045
1.5007503752,0.7556873358
1.5107553777,0.7647018331
1.5207603802,0.7783039237
1.5307653827,0.7969189521
1.5407703852,0.8205433597
1.5507753877,0.8486423042
1.5607803902,0.8800595166
1.5707853927,0.9129540042
1.5807903952,0.9447824043
1.5907953977,0.9723488596
1.6008004002,0.9919430548
1.6108054027,0.9995793269
1.6208104052,0.9913346086
1.6308154077,0.9637613044
1.6408204102,0.9143272323
1.6508254127,0.8418150867
1.6608304152,0.7466060645
1.6708354177,0.6307819927
1.6808404202,0.4980084318
1.6908454227,0.3532025848
1.7008504252,0.2020339875
1.7108554277,0.0503404490
1.7208604302,-0.0964431484
1.7308654327,-0.2337543875
1.7408704352,-0.3582083166
1.7508754377,-0.4677172466
1.7608804402,-0.5614356421
1.7708854427,-0.6395740466
1.7808904452,-0.7031363185
1.7908954477,-0.7536352406
1.8009004502,-0.7928308493
1.8109054527,-0.8225207721
1.8209104552,-0.8443961228
1.8309154577,-0.8599631698
1.8409204602,-0.8705217154
1.8509254627,-0.8771854869
1.8609304652,-0.8809277880
1.8709354677,-0.8826359067
1.8809404702,-0.8831595217
1.8909454727,-0.8833419374
1.9009504752,-0.8840266692
1.9109554777,-0.8860334334
1.9209604802,-0.8901118148
1.9309654827,-0.8968667305
1.9409704852,-0.9066674573
1.9509754877,-0.9195462432
1.9609804902,-0.9350957262
1.9709854927,-0.9523761936
1.9809904952,-0.9698467769
1.9909954977,-0.9853373644
2.0010005003,-0.9960803650
2.0110055028,-0.9988210451
2.0210105053,-0.9900198353
2.0310155078,-0.9661482619
2.0410205103,-0.9240621292
2.0510255128,-0.8614137118
2.0610305153,-0.7770442722
2.0710355178,-0.6712861801
2.0810405203,-0.5461065907
2.0910455228,-0.4050452726
2.1010505253,-0.2529354185
2.1110555278,-0.0954399741
2.1210605303,0.0615245531
2.1310655328,0.2123814664
2.1410705353,0.3524080954
2.1510755378,0.4780965540
2.1610805403,0.5873203020
2.1710855428,0.6793111577
2.1810905453,0.7544799148
2.1910955478,0.8141369921
2.2011005503,0.8601733395
2.2111055528,0.8947541335
2.2211105553,0.9200624990
2.2311155578,0.9381132104
2.2411205603,0.9506410820
2.2511255628,0.9590574022
2.2611305653,0.9644608643
2.2711355678,0.9676862145
2.2811405703,0.9693731442
2.2911455728,0.9700391753
2.3011505753,0.9701424781
2.3111555778,0.9701238905
2.3211605803,0.9704208274
2.3311655828,0.9714495443
2.3411705853,0.9735590323
2.3511755878,0.9769582447
2.3611805903,0.9816258953
2.3711855928,0.9872123800
2.3811905953,0.9929458193
2.3911955978,0.9975563932
2.4012006003,0.9992352422
2.4112056028,0.9956456335
2.4212106053,0.9840038421
2.4312156078,0.9612433305
2.4412206103,0.9242668123
2.4512256128,0.8702759392
2.4612306153,0.7971492400
2.4712356178,0.7038188643
2.4812406203,0.5905819088
2.4912456228,0.4592789803
2.5012506253,0.3132856926
2.5112556278,0.1572924923
2.5212606303,-0.0031109664
2.5312656328,-0.1619887213
2.5412706353,-0.3136602765
2.5512756378,-0.4532518876
2.5612806403,-0.5771113603
2.5712856428,-0.6830307149
2.5812906453,-0.7702667953
2.5912956478,-0.8393824836
2.6013006503,-0.8919630581
2.6113056528,-0.9302710393
2.6213106553,-0.9568995139
2.6313156578,-0.9744696682
2.6413206603,-0.9853997559
2.6513256628,-0.9917551596
2.6613306653,-0.9951757633
2.6713356678,-0.9968682857
2.6813406703,-0.9976471049
2.6913456728,-0.9980061097
2.7013506753,-0.9982048993
2.7113556778,-0.9983544195
2.7213606803,-0.9984894426
2.7313656828,-0.9986181055
2.7413706853,-0.9987420755
2.7513756878,-0.9988448546
2.7613806903,-0.9988495673
2.7713856928,-0.9985516783
2.7813906953,-0.9975354889
2.7913956978,-0.9950862608
2.8014007004,-0.9901122884
2.8114057029,-0.9810932099
2.8214107054,-0.9660719612
2.8314157079,-0.9427074590
2.8414207104,-0.9084020080
2.8514257129,-0.8605102508
2.8614307154,-0.7966243086
2.8714357179,-0.7149130570
2.8814407204,-0.6144747826
2.8914457229,-0.4956464125
2.9014507254,-0.3602049437
2.9114557279,-0.2114031833
2.9214607304,-0.0538047997
2.9314657329,0.1070798994
2.9414707354,0.2653149075
2.9514757379,0.4151369770
2.9614807404,0.5515338099
2.9714857429,0.6707074007
2.9814907454,0.7703534129
2.9914957479,0.8497307339
3.0015007504,0.9095317217
3.0115057529,0.9516023359
3.0215107554,0.9785772622
3.0315157579,0.9934965551
3.0415207604,0.9994582989
3.0515257629,0.9993425938
3.0615307654,0.9956222216
3.0715357679,0.9902590747
3.0815407704,0.9846747953
3.0915457729,0.9797788472
3.1015507754,0.9760361032
3.1115557779,0.9735571297
3.1215607804,0.9721963947
3.1315657829,0.9716456761
3.1415707854,0.9715120945
3.1515757879,0.9713720341
3.1615807904,0.9707978999
3.1715857929,0.9693507112
3.1815907954,0.9665456286
3.1915957979,0.9617936175
3.2016008004,0.9543297658
3.2116058029,0.9431414249
3.2216108054,0.9269119743
3.2316158079,0.9039974703
3.2416208104,0.8724532310
3.2516258129,0.8301252009
3.2616308154,0.7748150693
3.2716358179,0.7045181077
3.2816408204,0.6177183622
3.2916458229,0.5137089107
3.3016508254,0.3928887594
3.3116558279,0.2569760314
3.3216608304,0.1090811047
3.3316658329,-0.0464044575
3.3416708354,-0.2041148687
3.3516758379,-0.3581861101
3.3616808404,-0.5028349823
3.3716858429,-0.6329490370
3.3816908454,-0.7445896039
3.3916958479,-0.8353279293
3.4017008504,-0.9043686984
3.4117058529,-0.9524626315
3.4217108554,-0.9816436279
3.4317158579,-0.9948559108
3.4417208604,-0.9955422699
3.4517258629,-0.9872564026
3.4617308654,-0.9733436094
3.4717358679,-0.9567121607
3.4817408704,-0.9396981593
3.4917458729,-0.9240132587
3.5017508754,-0.9107575786
3.5117558779,-0.9004785291
3.5217608804,-0.8932579626
3.5317658829,-0.8888129592
3.5417708854,-0.8865984350
3.5517758879,-0.8859018177
3.5617808904,-0.8859217091
3.5717858929,-0.8858231151
3.5817908954,-0.8847699841
3.5917958979,-0.8819228539
3.6018009005,-0.8764150078
3.6118059030,-0.8673073394
3.6218109055,-0.8535337464
3.6318159080,-0.8338507777
3.6418209105,-0.8068078127
3.6518259130,-0.7707549745
3.6618309155,-0.7239042004
3.6718359180,-0.6644544640
3.6818409205,-0.5907841131
3.6918459230,-0.5017009361
3.7018509255,-0.3967252145
3.7118559280,-0.2763653643
3.7218609305,-0.1423327752
3.7318659330,0.0023598550
3.7418709355,0.1534642167
3.7518759380,0.3057495335
3.7618809405,0.4534302346
3.7718859430,0.5907171464
3.7818909455,0.7124085591
3.7918959480,0.8144241420
3.8019009505,0.8941923280
3.8119059530,0.9508317825
3.8219109555,0.9851102541
3.8319159580,0.9992075220
3.8419209605,0.9963417831
3.8519259630,0.9803341967
3.8619309655,0.9551825134
3.8719359680,0.9246982626
3.8819409705,0.8922382239
3.8919459730,0.8605381009
3.9019509755,0.8316390360
3.9119559780,0.8068879931
3.9219609805,0.7869899908
3.9319659830,0.7720922050
