# Generated by QuTiP: 2000x2 real matrix in decimal format [',' separated values].
0.0000000000,1.0000000000
0.0100050025,0.9888019067
0.0200100050,0.9559530339
0.0300150075,0.9035998811
0.0400200100,0.8350378198
0.0500250125,0.7543427234
0.0600300150,0.6659510704
0.0700350175,0.5742531710
0.0800400200,0.4832544434
0.0900450225,0.3963369619
0.1000500250,0.3161304239
0.1100550275,0.2444814699
0.1200600300,0.1824975636
0.1300650325,0.1306367947
0.1400700350,0.0888169340
0.1500750375,0.0565237254
0.1600800400,0.0329057121
0.1700850425,0.0168509873
0.1800900450,0.0070479985
0.1900950475,0.0020341430
0.2001000500,0.0002360649
0.2101050525,0.0000070410
0.2201100550,-0.0003352401
0.2301150575,-0.0024682028
0.2401200600,-0.0080319257
0.2501250625,-0.0185870967
0.2601300650,-0.0355787930
0.2701350675,-0.0602944245
0.2801400700,-0.0938143358
0.2901450725,-0.1369499124
0.3001500750,-0.1901640573
0.3101550775,-0.2534736058
0.3201600800,-0.3263402764
0.3301650825,-0.4075628735
0.3401700850,-0.4951918606
0.3501750875,-0.5864937837
0.3601800900,-0.6779938237
0.3701850925,-0.7656193061
0.3801900950,-0.8449524252
0.3901950975,-0.9115804114
0.4002001001,-0.9615073097
0.4102051026,-0.9915712562
0.4202101051,-0.9998007440
0.4302151076,-0.9856473748
0.4402201101,-0.9500519746
0.4502251126,-0.8953315316
0.4602301151,-0.8249083282
0.4702351176,-0.7429307532
0.4802401201,-0.6538515883
0.4902451226,-0.5620275214
0.5002501251,-0.4713924038
0.5102551276,-0.3852333304
0.5202601301,-0.3060756930
0.5302651326,-0.2356639677
0.5402701351,-0.1750133861
0.5502751376,-0.1245037121
0.5602801401,-0.0839891962
0.5702851426,-0.0529056376
0.5802901451,-0.0303628942
0.5902951476,-0.0152192874
0.6003001501,-0.0061406058
0.6103051526,-0.0016472906
0.6203101551,-0.0001541166
0.6303151576,-0.0000074860
0.6403201601,0.0004766682
0.6503251626,0.0029732358
0.6603301651,0.0091131312
0.6703351676,0.0204442794
0.6803401701,0.0383932999
0.6903451726,0.0642231332
0.7003501751,0.0989822397
0.7103551776,0.1434406630
0.7203601801,0.1980079251
0.7303651826,0.2626334397
0.7403701851,0.3366967152
0.7503751876,0.4189011377
0.7603801901,0.5071935087
0.7703851926,0.5987372908
0.7803901951,0.6899674671
0.7903951976,0.7767485331
0.8004002001,0.8546413514
0.8104052026,0.9192640932
0.8204102051,0.9667083384
0.8304152076,0.9939521440
0.8404202101,0.9992032087
0.8504252126,0.9821113625
0.8604302151,0.9438108242
0.8704352176,0.8867842028
0.8804402201,0.8145738855
0.8904452226,0.7313932098
0.9004502251,0.6417041034
0.9104552276,0.5498238041
0.9204602301,0.4596106252
0.9304652326,0.3742546684
0.9404702351,0.2961767177
0.9504752376,0.2270200419
0.9604802401,0.1677093383
0.9704852426,0.1185480181
0.9804902451,0.0793287237
0.9904952476,0.0494389507
1.0005002501,0.0279511841
1.0105052526,0.0136950114
1.0205102551,0.0053136785
1.0305152576,0.0013127901
1.0405202601,0.0000952047
1.0505252626,0.0000011120
1.0605302651,-0.0006542178
1.0705352676,-0.0035428752
